"Item","Sub-Sector","Area","Super Region","Sector","Element","Unit","Source","Super Region","Value","Date Value","Period Value"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1204.920","2010-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1215.350","2009-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1230.150","2008-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1213.640","2007-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1206.770","2006-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1195.280","2005-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1190.000","2004-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1199.370","2003-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1207.030","2002-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1202.280","2001-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1214.960","2000-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1208.880","1999-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1208.620","1998-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1221.960","1997-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1237.810","1996-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1250.220","1995-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1253.920","1994-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1265.410","1993-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1279.540","1992-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1297.770","1991-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1319.830","1990-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1326.830","1989-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1350.330","1988-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1363.940","1987-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1422.840","1986-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1450.320","1985-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1425.490","1984-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1460.620","1983-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1454.280","1982-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1439.350","1981-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1426.280","1980-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1417.690","1979-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1426.810","1978-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1445.560","1977-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1457.050","1976-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1471.180","1975-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1483.200","1974-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1507.370","1973-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1545.280","1972-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1563.640","1971-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1584.900","1970-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1625.450","1969-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1694.790","1968-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1771.790","1967-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1858.430","1966-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1975.050","1965-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","2070.540","1964-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","2147.540","1963-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","2224.410","1962-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","2277.370","1961-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","INDIRECT EMISSIONS (N2O) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","3.890","2050-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","INDIRECT EMISSIONS (N2O) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","3.760","2030-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","INDIRECT EMISSIONS (N2O) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","3.630","2018-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","INDIRECT EMISSIONS (N2O) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","3.590","2017-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","INDIRECT EMISSIONS (N2O) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","3.580","2016-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","INDIRECT EMISSIONS (N2O) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","3.580","2015-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","INDIRECT EMISSIONS (N2O) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","3.560","2014-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","INDIRECT EMISSIONS (N2O) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","3.550","2013-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","INDIRECT EMISSIONS (N2O) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","3.550","2012-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","INDIRECT EMISSIONS (N2O) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","3.540","2011-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","INDIRECT EMISSIONS (N2O) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","3.510","2010-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","INDIRECT EMISSIONS (N2O) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","3.540","2009-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","INDIRECT EMISSIONS (N2O) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","3.580","2008-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","INDIRECT EMISSIONS (N2O) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","3.530","2007-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","INDIRECT EMISSIONS (N2O) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","3.510","2006-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","INDIRECT EMISSIONS (N2O) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","3.480","2005-12-31","a"
